iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
56,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08612497  0.03445195 -0.07141652 ...  0.02063235  0.1046019
  0.0313459 ]",[0 0 0 0 0],0.0,2.2204460492503132e-17
57,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08595272  0.03438304 -0.07127369 ...  0.02059108  0.1043927
  0.0312832 ]",[0 0 0 0 0],0.0,0.0
58,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08578081  0.03431428 -0.07113114 ...  0.0205499   0.10418391
  0.03122064]",[0 0 0 0 0],0.0,0.0
59,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08560925  0.03424565 -0.07098888 ...  0.0205088   0.10397554
  0.0311582 ]",[0 0 0 0 0],0.0,0.0
60,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08543803  0.03417716 -0.0708469  ...  0.02046778  0.10376759
  0.03109588]",[0 0 0 0 0],0.0,0.0
61,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08526716  0.0341088  -0.07070521 ...  0.02042685  0.10356006
  0.03103369]",[0 0 0 0 0],0.0,2.2204460492503132e-17
62,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08509662  0.03404058 -0.0705638  ...  0.020386    0.10335294
  0.03097162]",[0 0 0 0 0],0.0,2.2204460492503132e-17
63,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08492643  0.0339725  -0.07042267 ...  0.02034522  0.10314623
  0.03090968]",[0 0 0 0 0],0.0,0.0
64,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08475658  0.03390456 -0.07028182 ...  0.02030453  0.10293994
  0.03084786]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
65,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08458706  0.03383675 -0.07014126 ...  0.02026392  0.10273406
  0.03078616]",[0 0 0 0 0],0.0,2.2204460492503132e-17
66,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08441789  0.03376908 -0.07000098 ...  0.0202234   0.10252859
  0.03072459]",[0 0 0 0 0],0.0,0.0
