iteration,human feature,trajectory feature,feature norm,weights,human likeness,likelihood
12,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.06185065  0.06747775  0.00920863 ... -0.05197992  0.07804588
  0.07119886]",0.7562418620875254,0.6936032427212631
12,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.06312934  0.06742307  0.00861213 ... -0.05187596  0.07788979
  0.07105646]",0.7465486967314356,-2.1665557969996385
12,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.4331297537122065,"[-0.06595754  0.06743259  0.00759729 ... -0.05177221  0.07773401
  0.07091435]",0.692115625942305,1.1130155427170205
12,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.06859255  0.06744006  0.00658423 ... -0.05166866  0.07757854
  0.07077252]",0.6548020903044954,1.6669321379222506
13,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529516,"[-0.07159556  0.06745155  0.00557357 ... -0.05156532  0.07742338
  0.07063098]",0.7712467566082652,0.5635041546751278
13,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.07439821  0.06746092  0.00456466 ... -0.05146219  0.07726854
  0.07048971]",0.7562418620875254,0.9540844481631545
13,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.07565181  0.06740627  0.00397745 ... -0.05135927  0.077114
  0.07034874]",0.7465486967314356,-2.1532883802486094
13,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[-0.07845496  0.06741582  0.00297187 ... -0.05125655  0.07695977
  0.07020804]",0.692115625942305,1.3904977925588469
13,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.08106497  0.06742332  0.00196807 ... -0.05115404  0.07680585
  0.07006762]",0.6548020903044954,1.9887767697188465
14,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.08404305  0.06743485  0.00096664 ... -0.05105173  0.07665224
  0.06992749]",0.7712467566082652,0.7969300693881785
14,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-8.68208003e-02  6.74442479e-02 -3.30606606e-05 ... -5.09496264e-02
  7.64989367e-02  6.97876314e-02]",0.7562418620875254,1.2119712399811853
14,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.08804955  0.06738963 -0.00061107 ... -0.05084773  0.07634594
  0.06964806]",0.7465486967314356,-2.1401531080287572
14,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.4331297537122065,"[-0.09082791  0.06739922 -0.00160747 ... -0.05074603  0.07619325
  0.06950876]",0.692115625942305,1.6652162970158528
14,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.09341317  0.06740676 -0.00260211 ... -0.05064454  0.07604086
  0.06936974]",0.6548020903044954,2.307415803260918
15,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.09636655  0.06741831 -0.0035944  ... -0.05054325  0.07588878
  0.069231  ]",0.7712467566082652,1.0280310433352824
